0, 0, 2604, 868, -1, -1, -1, -1
1, 0.117532, 436, 868, -1, -1, -1, -1
2, 1.03822, 2805, 14027, -1, -1, -1, -1
3, 2.56039, 4123, 20811, 533212, 213.798, 0, -1
7, 4.22409, 2455, 12171, 81.4906, 5.12517, -1, -1
6, 0.047175, 2456, 12173, 81.4906, 5.12499, -1, -1
7, 0.91768, 2455, 12171, 81.4906, 5.12505, -1, -1
8, 0.61945, 2455, 11820, 41.6403, 4.63251, -1, -1
9, 0.233295, 2455, 11820, 41.6403, 4.37699, -1, -1
6, 0.04195, 2455, 11820, 41.6403, 4.37699, -1, -1
7, 2.03546, 2316, 11187, 41.6403, 4.40826, -1, -1
8, 0.450482, 2316, 11148, 41.6403, 4.34722, -1, -1
9, 0.241137, 2316, 11148, 41.6403, 4.27241, -1, -1
6, 0.045456, 2366, 11377, 41.6403, 4.27595, -1, -1
7, 1.2008, 2295, 11047, 41.6403, 4.28025, -1, -1
8, 0.416749, 2295, 11032, 41.6403, 4.25916, -1, -1
9, 0.250819, 2295, 11032, 41.6403, 4.21488, -1, -1
6, 0.043737, 2312, 11112, 41.6403, 4.21458, -1, -1
7, 1.00142, 2274, 10937, 41.6403, 4.21964, -1, -1
8, 0.400933, 2274, 10933, 41.6403, 4.21097, -1, -1
9, 0.237104, 2274, 10933, 41.6403, 4.18823, -1, -1
6, 0.06942, 2785, 13564, 41.6403, 4.26092, -1, -1
7, 1.30584, 2435, 11851, 41.6403, 4.16927, -1, -1
8, 0.48753, 2435, 11851, 41.6403, 4.13821, -1, -1
9, 0.226929, 2435, 11851, 41.6403, 4.08083, -1, -1
6, 0.049264, 2558, 12434, 41.6403, 4.10272, -1, -1
7, 0.9843, 2412, 11738, 41.6403, 4.08469, -1, -1
8, 0.464958, 2412, 11736, 41.6403, 4.07676, -1, -1
9, 0.239536, 2412, 11736, 41.6403, 4.0519, -1, -1
6, 0.117253, 3604, 18029, 41.6403, 4.32356, -1, -1
7, 1.73059, 2839, 14235, 41.6403, 4.10919, -1, -1
8, 0.664366, 2839, 14203, 41.6403, 4.04919, -1, -1
9, 0.27659, 2839, 14203, 41.6403, 3.94522, -1, -1
6, 0.068756, 3154, 15741, 41.6403, 4.01794, -1, -1
7, 1.49719, 2806, 14055, 41.6403, 3.96436, -1, -1
8, 0.598691, 2806, 14041, 41.6403, 3.95144, -1, -1
9, 0.276255, 2806, 14041, 41.6403, 3.91089, -1, -1
6, 0.16541, 4628, 23724, 41.6403, 4.2636, -1, -1
7, 2.11166, 3467, 17758, 41.6403, 4.01038, -1, -1
8, 0.867442, 3467, 17724, 41.6403, 3.96407, -1, -1
9, 0.327388, 3467, 17724, 38.0405, 3.85623, -1, -1
6, 0.106536, 4159, 21192, 38.0405, 3.98789, -1, -1
7, 1.62611, 3472, 17801, 38.0405, 3.87873, -1, -1
8, 0.808076, 3472, 17791, 38.0405, 3.85991, -1, -1
9, 0.327262, 3472, 17791, 38.0405, 3.81009, -1, -1
6, 0.095045, 4036, 20769, 29.9082, 3.97297, -1, -1
7, 1.97569, 3597, 18504, 11.1505, 3.86179, -1, -1
8, 0.837763, 3597, 18492, 8.86502, 3.84553, -1, -1
9, 0.341758, 3597, 18492, 8.35473, 3.7976, -1, -1
7, 1.78746, 3529, 18138, 8.35473, 3.79672, -1, -1
4, 33.0008, 3529, 18138, 8.35473, 3.79672, -1, -1
5, 0.788066, 1121, 3794, 8.35473, 3.8925, -1, -1
-1, 37.505, 1121, 3794, 8.35473, 3.8925, 0, 29
